,,,Product,,Item Specification 1,,Item Specification 2,,Item Specification 3,,Item Specification 4,,Item Vendor,,Item Stage,,,
SL,Item Head,Item Sub Head,Group,Code,Chemistry,Code,Type,Code,Specification,Code,Specification,Code,Vendor/Brand,Code,Stage,Code,Final Code,Uom
1,Raw Materials ,Battery Scrap,Battery Pack,BP,LCO,1,Pouch,1,NA,0,,,Unorg,0,Not Mixed,0,EL0101010000,
,,,Battery Module,BM,NMC,2,Cell,2,Polymer,1,,,BAK,1,Mixed,1,BP0202030001,
,,,End of Life,EL,LFP,3,Pack,3,Normal,2,,,BEL,2,,,,
,,,Second Life,SL,LMO,4,Module,4,Prismatic,3,,,DMEGC,3,,,,
,,Giga Factory,Anode Material,AM,LTO,5,Saft,5,Cylindrical,4,,,HLY,4,,,,
,,,Cathode Material,CM,Other,6,Foil,6,18650,5,,,LG,5,,,,
,,,Anode Slurry,AS,,,,,21700,6,,,Ather Energy,11,,,,
,,,Cathode Slurry,CS,,,,,26650,7,,,Ashok Leyland,12,,,,
,,,,,,,,,32700,9,,,Bajaj Auto,13,,,,
,,,,,,,,,32140,8,,,Emotorad,14,,,,
,,,,,,,,,43140,10,,,Exponent Energy,15,,,,
,,,,,,,,,Cu,11,,,Garuda Aerospace,16,,,,
,,,,,,,,,Al,12,,,Greaves Electric Mobility,17,,,,
,,,,,,,,,,,,,Lectrix E Vehicles,18,,,,
,,,,,,,,,,,,,Magni Power,19,,,,
,,,,,,,,,,,,,Maruti Suzuki Limited,20,,,,
,,,,,,,,,,,,,Ola Electric,21,,,,
,,,,,,,,,,,,,Quantum Energy,22,,,,
,,,,,,,,,,,,,Raptee,23,,,,
,,,,,,,,,,,,,Royal Enfield,24,,,,
,,,,,,,,,,,,,Switch Mobility,25,,,,
,,,,,,,,,,,,,Tata Motors,26,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Sub Head,Group,Code,Name,Code,,,,,,,,,Final Code,,,
,,Metal Enrich Powder,BM,MEP,LCO,1,,,,,,,,,MEP1,,,
,,,,,NMC,2,,,,,,,,,,,,
,,,,,LTO,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Sub Head,Group,Code,Name,Code,Grade,Code,Specification,Code,,,,,Final Code,,,
,,Chemicals,Chemical,CH,DM Water,DMWA,IR,1,0.66,1,,,,,CHDMWA12,,,
,,,,,Sodium Sulphide,SOSU,LR,2,0.98,2,,,,,CHSOHY21,,,
,,,,,Sodium Carbonate,SOCA,AR,3,1,3,,,,,CHSUAC33,,,
,,,,,Sulphuric Acid,SUAC,,,106Ah,4,,,,,,,,
,,,,,Sodium Hydroxide,SOHY,,,5Ah,5,,,,,,,,
,,,,,Hydrogen peroxide,HYPE,,,,,,,,,,,,
,,,,,Anode Slurry,ANSL,,,,,,,,,,,,
,,,,,Cathode Slurry,CASL,,,,,,,,,,,,
,,,,,Cobalt Hydroxide,COHY,,,,,,,,,CHCOHY00,,,
,,,,,Nickel Hydroxide,NIHY,,,,,,,,,CHNIHY00,,,
,,,,,,,,,,,,,,,,,,
,,Item Sub Head,Group,Code,Name,Code,Specification-1,Code,Specification-2,Code,Specification-3,Code,Specification-4,Code,Final Code,,,
,,,,EQ,Air Compressor,1001,25HP,1,8.5Bar,1,,,,,EQ100111,,,Created
2,Capital Equipments , Equipments / Machinery,Equipments / Machinery,EQ,Li-Ion Battery Recycling Line,,,,,,,,,,,,,
,,IT Equipments,,,Cell Sorting Machine,,,,,,,,,,,,,
,,Safety Equipments,,,Muffle Furnace,,,,,,,,,,,,,
,,Furniture & Fixtures,,,pH-Meter,,,,,,,,,,,,,
,,,,,ICP,,,,,,,,,,,,,
,,,,,Hammer Mill,1003,,,,,,,,,,,,
,,,,,WEIGHING Balance,,,,,,,,,,,,,
,,,,,Motor,1004,1HP,1,,,,,,,EQ10041,,,
,,,,,,1004,2HP,2,,,,,,,EQ10042,,,
,,,,,,1004,3HP,3,,,,,,,EQ10043,,,
,,,,,Vibrating Screen,1005,25U,1,,,,,,,EQ10051,,,
,,,,,,,75U,2,,,,,,,EQ10052,,,
,,,,,,,100U,3,,,,,,,EQ10053,,,
,,,IT Equipments,IT,Laptop,1001,14',1,8 GB,1,250 GB,1,Mac,1,IT10011111,,,
,,,,,Desktop,1002,15',2,16 GB,2,512 GB,2,Acer,2,IT10022113,,,
,,,,,,,,,,,,,Lenova,3,,,,
,,,Safety Equipments,SE,Fire Extinguiser,1001,4 Kg,1,,,,,,,SE10011,,,
,,,,,,,4.5Kg,2,,,,,,,SE10012,,,
,,,,,,,6 Kg,3,,,,,,,SE10013,,,
,,,Furniture & Fixtures,FF,AC,1001,1T,1,,,,,,,FF10011,,,
,,,,,,,2T,2,,,,,,,FF10012,,,
,,,,,Chair,1002,with headrest,1,,,,,,,FF10021,,,
,,,,,,,without headrest,2,,,,,,,FF10022,,,
,,,,,Table,1003,MS,1,"2"" x 4""",1,,,,,FF100311,,,
,,,,,,,Wood,2,"4"" x 8""",2,,,,,FF100322,,,
,,,,,Racks,1004,MS,1,"6"" x 3 "" x 1""",1,,,,,FF100411,,,
,,,,,,,Wood,2,,,,,,,FF100421,,,
,,,,,,,,,,,,,,,,,,
,,,Group,Code,Name,Code,Specification-1,Code,Specification-2,Code,Specification-3,Code,Specification-3,Code,Final Code,,,
3,Admin & Office,Printing / Items,Printing / Items,PR,Diplay Board,1001,ACP,1,,,,,,,PA10011,,,Created
,,,,,Banner,,,,,,,,,,,,,
,,,,,Brouchers,,,,,,,,,,,,,
,,,,,Visiting Cards,,,,,,,,,,,,,
,,Pantry / Items,Pantry / Items,PA,Sugar,1001,,,,,,,,,PA1001,,,
,,,,,Towel,1002,,,,,,,,,,,,
,,,,,Salt,1003,,,,,,,,,,,,
,,,,,Cup,1004,Paper,1,Printed,1,,,,,PA100411,,,
,,,,,,,Ceramic,2,Non-printed,2,,,,,PA100412,,,
,,,,,,,SS,3,,,,,,,,,,
,,,,,Glass/Plates,,,,,,,,,,,,,
,,House Keeping Items,House Keeping Items,HK,Harpic,1001,100ml,1,,,,,,,HK10011,,,
,,,,,MOP,1002,500ml,2,,,,,,,,,,
,,,,,Acid,1003,1000ml,3,,,,,,,,,,
4,Consumables,Packaging ,Packaging ,PK,Bags,1001,PP,1,25 Kg,1,With Liner,1,Open Mouth,1,PK10011111,,,
,,,,,,,,,50 Kg,2,without Liner,2,Closed Mouth,2,PK10011121,,,
,,,,,,,,,1000 Kg,3,,,,,,,,
,,,,,Liner,1002,PP,1,25 Kg,1,,,,,,,,
,,,,,,,,,50 Kg,2,,,,,,,,
,,,,,Corrugated Paper,1003,,,,,,,,,,,,
,,,,,Corrugated Box,1004,,,,,,,,,,,,
,,Storage Tanks ,,,Storage Tanks ,1005,PP,1,25kg,1,,,,,,,,
,,,,,,,HDPE,2,50kg,2,,,,,,,,
,,,,,,,,3,200kg,3,,,,,,,,
,,Labwares,,,,,,,,,,,,,,,,
,,Stationery ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Maintenance, Repair & Overhaulling",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Industrial Gas & Cylinder Refilling Services,,,,,,,,,,,,,,,,
,,Safety ,,,,,,,,,,,,,,,,
,,Others,,,,,,,,,,,,,,,,
5,Factory & Building Development,Civil and Structural Work,,,,,,,,,,,,,,,,
,,Others,,,,,,,,,,,,,,,,
6,Finished Goods,Foils,,,,,,,,,,,,,,,,
7,Marketing ,Business Promotion ,,,,,,,,,,,,,,,,
